Name,Photo,Contact,Role,Institution,Institution Description,Festival Role,Attendance,Bio,Conversation Tip,Institution Link
!Mediengruppe Bitnik,,https://www.instagram.com/mediengruppe_bitnik,Artist collective / Group,"CH Switzerland, DE Germany, HR Croatia",,Project – Qwen Stefani Against Techfascism,Probably,"!Mediengruppe Bitnik (read – the not mediengruppe bitnik) live and work in Berlin. They are contemporary artists who work on and with the Internet. Their practice expands from the digital to affect physical spaces, often intentionally employing loss of control to challenge established structures and mechanisms. The works of !Mediengruppe Bitnik formulate fundamental questions concerning contemporary issues. !Mediengruppe Bitnik are the artists Carmen Weisskopf and Domagoj Smoljo.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,https://wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww.bitnik.org
1=1 aka DJ Döner,,,Musician / Performer,TR,,Project – Sound Campus (WED 9.9.); Concert – DJSet (B2B),Definitely,"Contributor to “Sound Campus (WED 9.9.)”: Sound Campus – Listening Underground explores the movement beneath the surface. It considers the ongoing, divergent processes which are felt but not always seen. To submerge opens up new modes of attention and multi-sensory listening that change our relation with the surrounding.",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
2girls1comp,,,Conference contributor,CH,,Screening – Prix Ars Electronica Insight; Screening – The Game Was Rigged from the Start; Conference – ASIFA Austria Forum: Current Perspectives,Definitely,"Contributor to “Prix Ars Electronica Insight”: This program brings together six works that capture the spirit of this year’s Prix Ars Electronica jury discussions. Five of them received awards, standing out for their artistic intelligence, critical insight and political urgency.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Abdolrahim “Rahim” Tooranian,,https://www.instagram.com/trn.017/,Artist / Participant,IR Iran,,Project – Pulse Clash,Probably,"Abdolrahim “Rahim” Tooranian is an Iranian computer scientist based in Sweden. His practice and research revolve around machine learning, music informatics, AI music and computational creativity. He is currently completing his thesis in the MUSAiC Lab at KTH Sweden. Rahim was an exchange student in Leiden University’s Creative Intelligence and Technology MSc programme.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,https://isole-01.github.io/
Abdul Rahman Anwar,,,Artist / Contributor,PK,,Project – Bloom,Probably,Contributor to “Bloom”: Bloom: A kinetic sculpture that translates the natural act of flowering into a precise mechanical choreography,Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Abdulaziz Alhamadani,,,Conference contributor,US,,Conference – Academic Session: Research Track,Definitely,Contributor to “Academic Session: Research Track”: The Academic Session: Research Papers presents six contributions selected through the Expanded Conference Open Call.,Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Ada Llauradó-Crespo,,,Conference contributor,ES,,Conference – Academic Session: Art Track #4 Embodiment,Definitely,"Contributor to “Academic Session: Art Track #4 Embodiment”: The Academic Session #4 Art Track: Embodiment presents five contributions from the Expanded Conference Open Call that explore embodied interaction, perception and the relationship between human bodies and emerging technologies in expanded animation and interactive art.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Adam Cole,,,Conference contributor,UK,,Conference – Academic Session: Art Track #2 Authorship,Definitely,"Contributor to “Academic Session: Art Track #2 Authorship”: The Academic Session #2 Art Track: Authorship presents five contributions from the Expanded Conference Open Call that explore authorship, agency and creative control in expanded animation and interactive art.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Adam Schmidt,,,Performer,DE,,Project – Post Compost – Forest Reset; Performance – Post Compost – Forest Reset,Definitely,"Contributor to “Post Compost – Forest Reset”: Monocultures and drought weaken European forests, enabling bark beetles to reshape entire landscapes. This artistic research project explores decaying and emerging habitats through a continuously evolving series of large-format posters installed on a public billboard.",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
Adam Valjent,,,Artist / Contributor,SK,,"Project – Hello, how are you?",Probably,"Contributor to “Hello, how are you?”: Hello, how are you?—something we hear and say every day, almost without noticing. Through movement and sound, this performance plays with this fading weight, stretching and dissolving the phrase until it felt almost hollow.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Adam Varga,,,Artist / Contributor,SK,,Project – Remote Twins,Probably,"Contributor to “Remote Twins”: Remote Twins is an installation connecting biodiversity monitoring with architecture for non-human actors. It consists of two parts: one in a natural environment, equipped with a camera detecting and identifying insects, and the other in the exhibition space, visualizing data co…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
